chat_id,name,created_at
5445903211,pyhthon,2023-02-11 17:13:06.565185
5445903211,Task,2023-02-11 21:51:20.683671
5445903211,Task,2023-02-12 18:39:24.441655
5445903211,E,2023-02-12 18:42:06.658942
5445903211,E,2023-02-12 18:42:07.584898
5445903211,E,2023-02-12 18:42:08.629988
5445903211,E,2023-02-12 18:42:09.881359
5445903211,Task,2023-02-12 18:54:21.270139
5445903211,Task,2023-02-12 19:46:41.935428
5445903211,ha,2023-02-12 19:47:18.625158
5445903211,ha,2023-02-12 19:49:04.151372
5445903211,r,2023-02-12 21:39:07.413918
5445903211,D,2023-02-12 21:39:14.888860
5445903211,T,2023-02-12 21:41:45.116778
5445903211,H,2023-02-12 21:41:55.458082
5445903211,Ndjdjdjdjddj,2023-02-12 21:47:42.087940
5445903211,Python,2023-02-12 22:51:25.222655
5445903211,4,2023-02-12 23:39:59.606217
5445903211,Ha,2023-02-13 00:10:30.573373
5445903211,Python,2023-02-14 15:25:57.954039
5445903211,Python,2023-02-14 15:27:11.692468
5445903211,Python,2023-02-14 15:29:15.169658
5445903211,Python,2023-02-14 15:32:33.657955
5445903211,Python,2023-02-14 15:42:31.331455
5445903211,python,2023-02-14 16:05:40.035962
5445903211,y,2023-02-14 16:07:12.734402
5445903211,Python,2023-02-14 16:09:48.885912
5445903211,Y,2023-02-14 16:12:06.220977
5445903211,Je,2023-02-14 16:13:00.345964
5445903211,Ye,2023-02-14 16:19:35.419516
